Index,MiseStress,U.Mag,U.U1,U.U2,U.U3,x,y,z
61,4.26167904894e-14,0.0,0.0,0.0,0.0,76.5,-70.3125,271.55
62,3.49484711254e-14,0.0,0.0,0.0,0.0,76.5,-84.375,325.86
63,3.10350756111e-14,0.0,0.0,0.0,0.0,76.5,-98.4375,380.17
64,3.35091416084e-14,0.0,0.0,0.0,0.0,76.5,-112.5,434.48
65,1.79038830063e-14,29.6846978017,-1.15234238141,8.88966092679,-1.15234238141,76.5,-79.55,514.0
66,0.0,-32.928664064,-1.66119134084e-13,-32.928664064,-1.66119134084e-13,76.5,0.0,547.0
67,0.0,82.640264064,4.16905134084e-13,82.640264064,4.16905134084e-13,76.5,79.55,514.0
68,0.0,0.0,0.0,0.0,0.0,76.5,112.5,434.48
69,0.0,0.0,0.0,0.0,0.0,76.5,98.4375,380.17
70,0.0,0.0,0.0,0.0,0.0,76.5,84.375,325.86
71,0.0,0.0,0.0,0.0,0.0,76.5,70.3125,271.55
72,0.0,0.0,0.0,0.0,0.0,76.5,56.25,217.24
73,0.0,0.0,0.0,0.0,0.0,76.5,42.1875,162.93
74,0.0,0.0,0.0,0.0,0.0,76.5,28.125,108.62
75,0.0,0.0,0.0,0.0,0.0,76.5,14.0625,54.31
76,2.45469058949e-14,58.6760247335,-2.4115150578e-13,-58.6760247335,-2.4115150578e-13,102.0,-14.0625,54.31
77,2.81131118358e-14,0.0,0.0,0.0,0.0,102.0,-28.125,108.62
78,5.76803206017e-14,0.0,0.0,0.0,0.0,102.0,-42.1875,162.93
79,5.62017927343e-14,0.0,0.0,0.0,0.0,102.0,-56.25,217.24
80,4.50982967565e-14,0.0,0.0,0.0,0.0,102.0,-70.3125,271.55
81,2.78987559384e-14,0.0,0.0,0.0,0.0,102.0,-84.375,325.86
82,4.00199981888e-14,0.0,0.0,0.0,0.0,102.0,-98.4375,380.17
83,3.00148654875e-14,0.0,0.0,0.0,0.0,102.0,-112.5,434.48
84,1.80624291751e-14,29.6074729214,-1.15234238141,8.62847697503,-1.15234238141,102.0,-79.55,514.0
85,0.0,-32.7006018202,-1.66541741437e-13,-32.7006018202,-1.66541741437e-13,102.0,0.0,547.0
86,0.0,82.0679018202,4.17965741437e-13,82.0679018202,4.17965741437e-13,102.0,79.55,514.0
87,0.0,0.0,0.0,0.0,0.0,102.0,112.5,434.48
88,0.0,0.0,0.0,0.0,0.0,102.0,98.4375,380.17
89,0.0,0.0,0.0,0.0,0.0,102.0,84.375,325.86
90,0.0,0.0,0.0,0.0,0.0,102.0,70.3125,271.55
91,0.0,0.0,0.0,0.0,0.0,102.0,56.25,217.24
92,0.0,0.0,0.0,0.0,0.0,102.0,42.1875,162.93
93,0.0,0.0,0.0,0.0,0.0,102.0,28.125,108.62
94,0.0,0.0,0.0,0.0,0.0,102.0,14.0625,54.31
95,9.5620970465e-15,58.8289206355,-2.42329782048e-13,-58.8289206355,-2.42329782048e-13,127.5,-14.0625,54.31
96,3.08872856012e-14,0.0,0.0,0.0,0.0,127.5,-28.125,108.62
97,4.50786928159e-14,0.0,0.0,0.0,0.0,127.5,-42.1875,162.93
98,4.07390802589e-14,0.0,0.0,0.0,0.0,127.5,-56.25,217.24
99,5.05293608759e-14,0.0,0.0,0.0,0.0,127.5,-70.3125,271.55
100,2.85217705316e-14,0.0,0.0,0.0,0.0,127.5,-84.375,325.86
101,5.48724691087e-14,0.0,0.0,0.0,0.0,127.5,-98.4375,380.17
102,4.71154439439e-14,0.0,0.0,0.0,0.0,127.5,-112.5,434.48
103,0.0028317597428,26.8471765366,-1.08832462455,2.29526302399,-1.08832462455,127.5,-79.55,514.0
104,0.0,-32.4725395765,-1.65948898834e-13,-32.4725395765,-1.65948898834e-13,127.5,0.0,547.0
105,0.0,81.4955395765,4.16477898834e-13,81.4955395765,4.16477898834e-13,127.5,79.55,514.0
106,0.0,0.0,0.0,0.0,0.0,127.5,112.5,434.48
107,0.0,0.0,0.0,0.0,0.0,127.5,98.4375,380.17
108,0.0,0.0,0.0,0.0,0.0,127.5,84.375,325.86
109,0.0,0.0,0.0,0.0,0.0,127.5,70.3125,271.55
110,0.0,0.0,0.0,0.0,0.0,127.5,56.25,217.24
111,0.0,0.0,0.0,0.0,0.0,127.5,42.1875,162.93
112,0.0,0.0,0.0,0.0,0.0,127.5,28.125,108.62
113,0.0,0.0,0.0,0.0,0.0,127.5,14.0625,54.31
114,0.00455163785571,209.548051051,0.306577996787,-192.760848028,0.306577996787,153.0,-14.0625,54.31
115,0.0,53.7864783961,0.0562875657648,-53.7967749606,0.0562875657648,153.0,-28.125,108.62
116,0.0,138.575723866,0.412630702484,-138.267472564,0.412630702484,153.0,-42.1875,162.93
117,0.0,119.519579315,0.618938439676,-118.700364417,0.618938439676,153.0,-56.25,217.24
118,0.0,175.280782702,1.96929634654,-168.02766131,1.96929634654,153.0,-70.3125,271.55
119,0.0,45.8603472512,0.806499876484,-41.7756590539,0.806499876484,153.0,-84.375,325.86
120,0.0,53.7311067747,1.42540769062,-42.20898153,1.42540769062,153.0,-98.4375,380.17
121,0.0,47.2942520705,1.88540458596,-27.9389981502,1.88540458596,153.0,-112.5,434.48
122,0.0,234.832142733,-1.52036811898,177.894871778,-1.52036811898,153.0,-79.55,514.0
123,0.0,-60.9148904388,0.522176943227,-58.4721254996,0.522176943227,153.0,0.0,547.0
124,0.0,89.7380301428,-0.160147324371,91.3867865477,-0.160147324371,153.0,79.55,514.0
125,-0.00147260678901,140.861752457,1.02451439934,84.2164317879,1.02451439934,153.0,112.5,434.48
126,0.00668170938793,14.1489403285,-0.586909670919,-2.15945417295,-0.586909670919,153.0,98.4375,380.17
127,0.0134629103382,46.524545295,-1.59417220301,-26.2018524727,-1.59417220301,153.0,84.375,325.86
128,0.0139879220178,56.5797469772,-1.38786976929,-45.7695908969,-1.38786976929,153.0,70.3125,271.55
129,0.0141163905282,168.247568662,-2.05365585612,-160.02616131,-2.05365585612,153.0,56.25,217.24
130,0.00907697191731,69.6407892426,-0.525142576851,-68.4616630611,-0.525142576851,153.0,42.1875,162.93
131,0.0117932131507,123.057814403,-0.581399113085,-122.260836659,-0.581399113085,153.0,28.125,108.62
132,0.00925447513818,197.675233195,-0.412600126741,-197.406332065,-0.412600126741,153.0,14.0625,54.31
133,0.00433557442325,59.4498380052,2.83055205631e-13,-59.4498380052,2.83055205631e-13,177.699997,-14.0625,54.31
134,0.0,0.0,0.0,0.0,0.0,177.699997,-28.125,108.62
135,0.0,0.0,0.0,0.0,0.0,177.699997,-42.1875,162.93
136,0.0,0.0,0.0,0.0,0.0,177.699997,-56.25,217.24
137,0.0,0.0,0.0,0.0,0.0,177.699997,-70.3125,271.55
138,0.0,0.0,0.0,0.0,0.0,177.699997,-84.375,325.86
139,0.0,0.0,0.0,0.0,0.0,177.699997,-98.4375,380.17
140,0.0,0.0,0.0,0.0,0.0,177.699997,-112.5,434.48
141,0.0,29.3848255503,1.15681050072,7.83453238046,1.15681050072,177.699997,-79.55,514.0
142,0.0152317641017,-31.5501559737,-1.18262494562e-13,-31.5501559737,-1.18262494562e-13,177.699997,0.0,547.0
143,0.0,79.1806559737,2.96800494562e-13,79.1806559737,2.96800494562e-13,177.699997,79.55,514.0
144,0.0,0.0,0.0,0.0,0.0,177.699997,112.5,434.48
145,0.0,0.0,0.0,0.0,0.0,177.699997,98.4375,380.17
146,0.0,0.0,0.0,0.0,0.0,177.699997,84.375,325.86
147,0.0,0.0,0.0,0.0,0.0,177.699997,70.3125,271.55
148,0.0,0.0,0.0,0.0,0.0,177.699997,56.25,217.24
149,0.0,0.0,0.0,0.0,0.0,177.699997,42.1875,162.93
150,0.0,0.0,0.0,0.0,0.0,177.699997,28.125,108.62
151,0.0,0.0,0.0,0.0,0.0,177.699997,14.0625,54.31
152,0.00415272603621,59.6045117665,8.24024463698e-14,-59.6045117665,8.24024463698e-14,202.399994,-14.0625,54.31
153,0.0,0.0,0.0,0.0,0.0,202.399994,-28.125,108.62
154,0.0,0.0,0.0,0.0,0.0,202.399994,-42.1875,162.93
155,0.0,0.0,0.0,0.0,0.0,202.399994,-56.25,217.24
156,0.0,0.0,0.0,0.0,0.0,202.399994,-70.3125,271.55
157,0.0,0.0,0.0,0.0,0.0,202.399994,-84.375,325.86
158,0.0,0.0,0.0,0.0,0.0,202.399994,-98.4375,380.17
159,0.0,0.0,0.0,0.0,0.0,202.399994,-112.5,434.48
160,0.0,29.3154141894,1.15393542904,7.56886513751,1.15393542904,202.399994,-79.55,514.0
161,0.0,-31.3174569721,-9.82959531332e-14,-31.3174569721,-9.82959531332e-14,202.399994,0.0,547.0
162,0.0,78.5966569721,2.46690953133e-13,78.5966569721,2.46690953133e-13,202.399994,79.55,514.0
163,0.0,0.0,0.0,0.0,0.0,202.399994,112.5,434.48
164,0.0,0.0,0.0,0.0,0.0,202.399994,98.4375,380.17
165,0.0,0.0,0.0,0.0,0.0,202.399994,84.375,325.86
166,0.0,0.0,0.0,0.0,0.0,202.399994,70.3125,271.55
167,0.0,0.0,0.0,0.0,0.0,202.399994,56.25,217.24
168,0.0,0.0,0.0,0.0,0.0,202.399994,42.1875,162.93
169,0.0,0.0,0.0,0.0,0.0,202.399994,28.125,108.62
170,0.0,0.0,0.0,0.0,0.0,202.399994,14.0625,54.31
171,0.00405571491976,59.7614078521,6.61230329856e-15,-59.7614078521,6.61230329856e-15,227.100006,-14.0625,54.31
172,0.0,0.0,0.0,0.0,0.0,227.100006,-28.125,108.62
173,0.0,0.0,0.0,0.0,0.0,227.100006,-42.1875,162.93
174,0.0,0.0,0.0,0.0,0.0,227.100006,-56.25,217.24
175,0.0,0.0,0.0,0.0,0.0,227.100006,-70.3125,271.55
176,0.0,0.0,0.0,0.0,0.0,227.100006,-84.375,325.86
177,0.0,0.0,0.0,0.0,0.0,227.100006,-98.4375,380.17
178,0.0,0.0,0.0,0.0,0.0,227.100006,-112.5,434.48
179,0.0,29.2481268919,1.14934593468,7.30239378481,1.14934593468,227.100006,-79.55,514.0
180,0.0,-31.0854203645,-7.76127014294e-14,-31.0854203645,-7.76127014294e-14,227.100006,0.0,547.0
181,0.0,78.0143203645,1.94782701429e-13,78.0143203645,1.94782701429e-13,227.100006,79.55,514.0
182,0.0,0.0,0.0,0.0,0.0,227.100006,112.5,434.48
183,0.0,0.0,0.0,0.0,0.0,227.100006,98.4375,380.17
184,0.0,0.0,0.0,0.0,0.0,227.100006,84.375,325.86
185,0.0,0.0,0.0,0.0,0.0,227.100006,70.3125,271.55
186,0.0,0.0,0.0,0.0,0.0,227.100006,56.25,217.24
187,0.0,0.0,0.0,0.0,0.0,227.100006,42.1875,162.93
188,0.0,0.0,0.0,0.0,0.0,227.100006,28.125,108.62
189,0.0,0.0,0.0,0.0,0.0,227.100006,14.0625,54.31
190,0.00573626311563,59.9151926838,-3.23953081568e-14,-59.9151926838,-3.23953081568e-14,251.800003,-14.0625,54.31
191,0.0,0.0,0.0,0.0,0.0,251.800003,-28.125,108.62
192,0.0,0.0,0.0,0.0,0.0,251.800003,-42.1875,162.93
193,0.0,0.0,0.0,0.0,0.0,251.800003,-56.25,217.24
194,0.0,0.0,0.0,0.0,0.0,251.800003,-70.3125,271.55
195,0.0,0.0,0.0,0.0,0.0,251.800003,-84.375,325.86
196,0.0,0.0,0.0,0.0,0.0,251.800003,-98.4375,380.17
197,0.0,0.0,0.0,0.0,0.0,251.800003,-112.5,434.48
198,0.0,29.1830395173,1.1387711328,7.03650654958,1.1387711328,251.800003,-79.55,514.0
199,0.0,-30.8545760661,-6.11948694541e-14,-30.8545760661,-6.11948694541e-14,251.800003,0.0,547.0
200,0.0,77.4349760661,1.53579269454e-13,77.4349760661,1.53579269454e-13,251.800003,79.55,514.0
201,0.0,0.0,0.0,0.0,0.0,251.800003,112.5,434.48
202,0.0,0.0,0.0,0.0,0.0,251.800003,98.4375,380.17
203,0.0,0.0,0.0,0.0,0.0,251.800003,84.375,325.86
204,0.0,0.0,0.0,0.0,0.0,251.800003,70.3125,271.55
205,0.0,0.0,0.0,0.0,0.0,251.800003,56.25,217.24
206,0.0,0.0,0.0,0.0,0.0,251.800003,42.1875,162.93
207,0.0,0.0,0.0,0.0,0.0,251.800003,28.125,108.62
208,0.0,0.0,0.0,0.0,0.0,251.800003,14.0625,54.31
